C1=CC=C(C=C1)C(CN)O	[Compound(1000)]	2-amino-1-phenylethanol
CCCCC/C=C/C(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O	[Compound(11966175)]	S-[2-[3-[[(2R)-4-[[[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethyl] (E)-oct-2-enethioate
CC(=O)N[C@@H]1[C@H]([C@H]([C@H](OC1OP(=O)(O)OP(=O)(O)OC[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=CC(=O)NC3=O)O)O)COS(=O)(=O)O)OS(=O)(=O)O)O	[Compound(11966182)]	[(3R,4R,5R,6R)-3-acetamido-4-hydroxy-5-sulfooxy-6-(sulfooxymethyl)oxan-2-yl] [[(2R,3S,4R,5R)-5-(2,4-dioxopyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl] hydrogen phosphate
CC(C)(COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)[C@H](C(=O)NCCC(=O)NCCSC(=O)C4=CCCCC4=O)O	[Compound(11966191)]	S-[2-[3-[[(2R)-4-[[[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethyl] 6-oxocyclohexene-1-carbothioate
CCCCC/C=C\CC/C=C/C(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O	[Compound(11966194)]	S-[2-[3-[[(2R)-4-[[[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethyl] (2E,6Z)-dodeca-2,6-dienethioate
CCC/C=C/C(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O	[Compound(11966204)]	S-[2-[3-[[(2R)-4-[[[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethyl] (E)-hex-2-enethioate
CC(C)CCCC(C)CCCC(C)CCCC(C)CC(=O)[O-]	[Compound(11966211)]	3,7,11,15-tetramethylhexadecanoate
C[C@@H]([C@H](C)O)C(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O	[Compound(11966220)]	S-[2-[3-[[(2R)-4-[[[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethyl] (2S,3S)-3-hydroxy-2-methylbutanethioate
CC(CCC[C@@H]1[C@H](CCC1=O)CC(=O)O)O	[Compound(11966225)]	2-[(1R,2R)-2-(4-hydroxypentyl)-3-oxocyclopentyl]acetic acid
CCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O	[Compound(11966235)]	S-[2-[3-[[(2R)-4-[[[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethyl] heptanethioate
C1C=CC=[As]1	[Compound(11966243)]	2H-arsole
C(=C(/C(=O)O)\Cl)\C(=O)C(C(=O)O)Cl	[Compound(11966252)]	(Z)-2,5-dichloro-4-oxohex-2-enedioic acid
C(=C\C(=O)[O-])\C(=O)O	[Compound(11966254)]	(Z)-4-hydroxy-4-oxobut-2-enoate
C1CC=[NH+]C1	[Compound(11966285)]	3,4-dihydro-2H-pyrrol-1-ium
CC[C@@H](C)[C@H](C(=O)O)[NH3+]	[Compound(11966294)]	[(1R,2R)-1-carboxy-2-methylbutyl]azanium
CC(C)(COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)[C@H](C(=O)NCCC(=O)NCCSC(=O)C4=CC=CC=C4O)O	[Compound(11966295)]	S-[2-[3-[[(2R)-4-[[[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethyl] 2-hydroxybenzenecarbothioate
CC1=CN(C(=O)NC1=O)[C@H]2C[C@@H]([C@H](O2)COP(=O)(O)O[C@H]3C[C@@H](O[C@@H]3COP(=O)(O)O[C@H]4C[C@@H](O[C@@H]4COP(=O)(O)O[C@H]5C[C@@H](O[C@@H]5CO)N6C=C(C(=O)NC6=O)C)N7C=C(C(=O)NC7=O)C)N8C=C(C(=O)NC8=O)C)O	[Compound(11967651)]	[(2R,3S,5R)-3-[hydroxy-[[(2R,3S,5R)-3-[hydroxy-[[(2R,3S,5R)-3-hydroxy-5-(5-methyl-2,4-dioxopyrimidin-1-yl)oxolan-2-yl]methoxy]phosphoryl]oxy-5-(5-methyl-2,4-dioxopyrimidin-1-yl)oxolan-2-yl]methoxy]phosphoryl]oxy-5-(5-methyl-2,4-dioxopyrimidin-1-yl)oxolan-2-yl]methyl [(2R,3S,5R)-2-(hydroxymethyl)-5-(5-methyl-2,4-dioxopyrimidin-1-yl)oxolan-3-yl] hydrogen phosphate
CN1[C@@H]2CC(C[C@H]1[C@H]3[C@H]2O3)OC(=O)[C@H](CO)C4=CC=CC=C4	[Compound(11968014)]	[(1R,2S,4S,5S)-9-methyl-3-oxa-9-azatricyclo[3.3.1.02,4]nonan-7-yl] (2S)-3-hydroxy-2-phenylpropanoate
CCCCCCCCCCCCCCCCCCN\1C2=CC=CC=C2C(/C1=C\C=C\C3=[N+](C4=CC=CC=C4C3(C)C)CCCCCCCCCCCCCCCCCC)(C)C.[O-]Cl(=O)(=O)=O	[Compound(11968038)]	(2E)-2-[(E)-3-(3,3-dimethyl-1-octadecylindol-1-ium-2-yl)prop-2-enylidene]-3,3-dimethyl-1-octadecylindole;perchlorate
CC/C=C/CCC1CCCC(=O)O1	[Compound(11969488)]	6-[(E)-hex-3-enyl]oxan-2-one
C1=CC=C(C(=C1)CC(=O)O)O	[Compound(11970)]	2-(2-hydroxyphenyl)acetic acid
CC(C)(C#N)C1=CC=C(C=C1)N2C3=C4C=C(C=CC4=NC=C3N(C2=O)C)C5=CC6=CC=CC=C6N=C5	[Compound(11977753)]	2-methyl-2-[4-(3-methyl-2-oxo-8-quinolin-3-ylimidazo[4,5-c]quinolin-1-yl)phenyl]propanenitrile
CN1C2=CN=C3C=CC(=CC3=C2N(C1=O)C4=CC(=C(C=C4)N5CCNCC5)C(F)(F)F)C6=CN=C(C=C6)OC	[Compound(11978790)]	8-(6-methoxypyridin-3-yl)-3-methyl-1-[4-piperazin-1-yl-3-(trifluoromethyl)phenyl]imidazo[4,5-c]quinolin-2-one
C1CN(CCN1CCCCOC2=CC3=C(C=C2)C=CC(=O)N3)C4=C5C=CSC5=CC=C4	[Compound(11978813)]	7-[4-[4-(1-benzothiophen-4-yl)piperazin-1-yl]butoxy]-1H-quinolin-2-one
CCOC(=O)CCC(=O)OCCC(C)C	[Compound(119794)]	1-O-ethyl 4-O-(3-methylbutyl) butanedioate
C1N(CCN(C1)C(=O)C(C2=CC=CC=C2)C3=CC=CC=C3)CC(O)COC4=CC=CC5=C4C=CC=N5.C1N(CCN(C1)C(=O)C(C2=CC=CC=C2)C3=CC=CC=C3)CC(O)COC4=CC=CC5=C4C=CC=N5.C(=C/C(=O)O)\C(=O)O.C(=C/C(=O)O)\C(=O)O.C(=C/C(=O)O)\C(=O)O	[Compound(11979781)]	(E)-but-2-enedioic acid;1-[4-(2-hydroxy-3-quinolin-5-yloxypropyl)piperazin-1-yl]-2,2-diphenylethanone
CC(=O)CC(C)(C)OO	[Compound(119804)]	4-hydroperoxy-4-methylpentan-2-one
CC(=CC[C@H](CC1=C2C(=C(C=C1O)OC)C(=O)C[C@H](O2)C3=C(C=C(C=C3)O)OC)C(=C)C)C	[Compound(11982641)]	(2S)-7-hydroxy-2-(4-hydroxy-2-methoxyphenyl)-5-methoxy-8-[(2R)-5-methyl-2-prop-1-en-2-ylhex-4-enyl]-2,3-dihydrochromen-4-one
CN(C)C(=O)C1=CC=C[CH-]1.[CH-]1[CH-][CH-][C-]([CH-]1)C(=O)O.[Fe]	[Compound(73162991)]	cyclopenta-2,4-dien-1-ylidene(dimethylamino)methanolate;cyclopenta-2,4-dien-1-ylidene(hydroxy)methanolate;iron
[CH-]1[CH-][CH-][C-]([CH-]1)CCN2C(=O)C=CC2=O.[CH-]1C=CC=C1.[Fe]	[Compound(73163742)]	cyclopenta-1,3-diene;1-(2-cyclopenta-2,4-dien-1-ylethyl)pyrrole-2,5-dione;iron
CC[C-]1[CH-][CH-][CH-][CH-]1.[CH-]1C=CC=C1.[Fe]	[Compound(25200007)]	cyclopenta-1,3-diene;1-ethylcyclopenta-1,3-diene;iron
CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](OC1OP(=O)(O)OP(=O)(O)OC[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=CC(=O)NC3=O)O)O)COP(=O)(O)O[C@H]4[C@@H]([C@H]([C@H]([C@H](O4)CO)O)O)O)O)O	[Compound(11988259)]	[(3R,4R,5S,6R)-3-acetamido-4,5-dihydroxy-6-[[hydroxy-[(2S,3R,4S,5R,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyphosphoryl]oxymethyl]oxan-2-yl] [[(2R,3S,4R,5R)-5-(2,4-dioxopyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl] hydrogen phosphate
C[C@@H]1C(=O)[C@@H]([C@H](C(O1)OP(=O)(O)OP(=O)(O)OC[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=CC(=NC3=O)N)O)O)O)O	[Compound(11988263)]	[[(2R,3S,4R,5R)-5-(4-amino-2-oxopyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl] [(3R,4R,6R)-3,4-dihydroxy-6-methyl-5-oxooxan-2-yl] hydrogen phosphate
C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@H]2O)CCC4=C3C=CC(=C4)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)C(=O)O)O)O)O	[Compound(11988264)]	(2S,3S,4S,5R,6S)-3,4,5-trihydroxy-6-[[(8R,9S,13S,14S,17R)-17-hydroxy-13-methyl-6,7,8,9,11,12,14,15,16,17-decahydrocyclopenta[a]phenanthren-3-yl]oxy]oxane-2-carboxylic acid
C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)O)O)O)N=CN(C2=N)[C@H]4[C@@H]([C@@H]([C@H](O4)COP(=O)(O)O)O)O	[Compound(11988267)]	[(2R,3S,4R,5R)-5-[1-[(2R,3R,4S,5R)-3,4-dihydroxy-5-(phosphonooxymethyl)oxolan-2-yl]-6-iminopurin-9-yl]-3,4-dihydroxyoxolan-2-yl]methyl dihydrogen phosphate
C/C(=C/C(=O)O)/C=C/[C@@]1([C@@]2(C[C@H](C[C@]1(OC2)C)O)C)O	[Compound(11988273)]	(2Z,4E)-5-[(1R,3R,5R,8S)-3,8-dihydroxy-1,5-dimethyl-6-oxabicyclo[3.2.1]octan-8-yl]-3-methylpenta-2,4-dienoic acid
[C@@H]([C@H]([C@H](C(=O)O)O)O)([C@H](C(=O)O)O)O	[Compound(11988274)]	(2R,3R,4R,5R)-2,3,4,5-tetrahydroxyhexanedioic acid
C1CC2=C(C=C(C=C2OC1C3=CC(=C(C(=C3)O)OC(=O)C4=CC(=C(C(=C4)O)O)O)O)OC(=O)C5=CC(=C(C(=C5)O)O)O)O	[Compound(11999968)]	[2-[3,5-dihydroxy-4-(3,4,5-trihydroxybenzoyl)oxyphenyl]-5-hydroxy-3,4-dihydro-2H-chromen-7-yl] 3,4,5-trihydroxybenzoate
COC1=CC(=CC(=C1)O)C2=CC=CC=C2	[Compound(12000323)]	3-methoxy-5-phenylphenol
C1=CO[C@H]([C@H]2[C@@H]1[C@@H]([C@H]3[C@@]2(O3)CO)OC(=O)C4=CC(=C(C=C4)O)O)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O	[Compound(12000799)]	[(1S,2S,4S,5S,6R,10S)-2-(hydroxymethyl)-10-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-3,9-dioxatricyclo[4.4.0.02,4]dec-7-en-5-yl] 3,4-dihydroxybenzoate
CCC(=C1C(=O)CC(CC1=O)C(=O)[O-])[O-].[Ca+2]	[Compound(12001831)]	calcium;4-(1-oxidopropylidene)-3,5-dioxocyclohexane-1-carboxylate
CC(=O)[C@@H]1C2=C(C3=C(C[C@]1(C)O)C(=C(C4=C3C(=O)C(=CC4=O)OC)O)OC)C5=C(C(=O)C=C(C5=O)OC)C(=C2OC)O	[Compound(12004204)]	(12R,13S)-12-acetyl-9,13,17-trihydroxy-5,10,16,21-tetramethoxy-13-methylpentacyclo[13.8.0.02,11.03,8.018,23]tricosa-1(15),2(11),3(8),5,9,16,18(23),20-octaene-4,7,19,22-tetrone
CC[C@H](C)/C=C(\C)/C=C/C1=CC2=C(C(=O)[C@@]3(C(=C(C(=O)O3)C(=O)C)C2=CO1)C)Cl	[Compound(12004205)]	(6aS)-9-acetyl-5-chloro-3-[(1E,3E,5S)-3,5-dimethylhepta-1,3-dienyl]-6a-methylfuro[2,3-h]isochromene-6,8-dione
COC1=C(C=C2C(=C1)C(=O)C(=CO2)C3=CC=C(C=C3)O)OC4C(C(C(C(O4)CO)O)O)O	[Compound(12004532)]	3-(4-hydroxyphenyl)-6-methoxy-7-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromen-4-one
CN1C=CC(=O)NC1=O	[Compound(12009)]	1-methylpyrimidine-2,4-dione
CC1=C(C2=CC3=NC(=CC4=C(C(=C(N4)C=C5[C@@]6([C@@H](C(=CC=C6C(=N5)C=C1N2)C(=O)O)C(=O)O)C)C)CCC(=O)O)C(=C3C)CCC(=O)O)C=C	[Compound(12010496)]	(19R,20S)-10,14-bis(2-carboxyethyl)-5-ethenyl-4,9,15,19-tetramethyl-25,26,27,28-tetrazahexacyclo[16.6.1.13,6.18,11.113,16.019,24]octacosa-1(25),2,4,6,8(27),9,11,13,15,17,21,23-dodecaene-20,21-dicarboxylic acid
CN1[C@@H]2CC[C@H]1CC(C2)OC(C3=CC=CC=C3)C4=CC=CC=C4	[Compound(1201549)]	(1R,5S)-3-benzhydryloxy-8-methyl-8-azabicyclo[3.2.1]octane
CCC(=O)O[C@@H]1[C@@H]2[C@H]([C@@]34CO[C@]([C@@H]3[C@H](C=C[C@H]4OC(=O)C)C(C)(C)OC(=O)C)([C@H]([C@]2(C[C@@]1(C)OC(=O)C)OC(=O)C)OC(=O)C5=CC=CC=C5)C)OC(=O)C	[Compound(12015978)]	[(1R,2R,3S,4R,5R,7R,8R,9R,10R,11S,14R)-2,5,7,14-tetraacetyloxy-11-(2-acetyloxypropan-2-yl)-5,9-dimethyl-4-propanoyloxy-16-oxatetracyclo[7.5.2.01,10.03,7]hexadec-12-en-8-yl] benzoate
C1=C(NC=N1)CCN.Cl	[Compound(120160)]	2-(1H-imidazol-5-yl)ethanamine;hydrochloride
CCCCCCCCCCCCCCCCCCOC(=O)/C=C/C1=CC=C(C=C1)O	[Compound(12018904)]	octadecyl (E)-3-(4-hydroxyphenyl)prop-2-enoate
CCC(CC)N	[Compound(12019)]	pentan-3-amine
N1=PN=PN=P1	[Compound(120195)]	1,3,5,2,4,6-triazatriphosphinine
C[C@H](/C=C/[C@H](C)C(C)C)[C@H]1CC[C@@H]2[C@@]1(CCC3=C2[C@@H]([C@H]4[C@@]5([C@@]3(CC[C@@H](C5)O)C)O4)O)C	[Compound(12019948)]	(2R,5S,7R,9S,10S,12R,15R,16R)-15-[(E,2R,5R)-5,6-dimethylhept-3-en-2-yl]-2,16-dimethyl-8-oxapentacyclo[9.7.0.02,7.07,9.012,16]octadec-1(11)-ene-5,10-diol
COC(=O)OC	[Compound(12021)]	dimethyl carbonate
CCCC(=O)C1=C(C(=C(C(C1=O)(C)C)O)CC2=C(C(=C(C(=C2O)C)OC)C(=O)CCC)O)O	[Compound(120290)]	2-butanoyl-4-[(3-butanoyl-2,6-dihydroxy-4-methoxy-5-methylphenyl)methyl]-3,5-dihydroxy-6,6-dimethylcyclohexa-2,4-dien-1-one
C=C(C(=O)O)O[C@@H]1C=C(C=C[C@H]1O)C(=O)O	[Compound(12039)]	(3R,4R)-3-(1-carboxyethenoxy)-4-hydroxycyclohexa-1,5-diene-1-carboxylic acid
C1CC2C(CC1N2)C3=CN=C(C=C3)Cl	[Compound(1204)]	2-(6-chloropyridin-3-yl)-7-azabicyclo[2.2.1]heptane
CC(C)C(=O)OC(C)C	[Compound(12044)]	propan-2-yl 2-methylpropanoate
CC[C@H](/C=C/[C@@H](C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2C(=O)C=C4[C@@]3(CC[C@@H](C4)O)C)C)C(C)C	[Compound(12044013)]	(3S,8S,9S,10R,13R,14S,17R)-17-[(E,2R,5S)-5-ethyl-6-methylhept-3-en-2-yl]-3-hydroxy-10,13-dimethyl-1,2,3,4,8,9,11,12,14,15,16,17-dodecahydrocyclopenta[a]phenanthren-7-one
C[C@@H]1CC[C@H]([C@H]2[C@@]1(CCC(=C2)C)O)C(C)C	[Compound(12046149)]	(1S,4R,4aS,8aR)-4,7-dimethyl-1-propan-2-yl-2,3,4,5,6,8a-hexahydro-1H-naphthalen-4a-ol
C[C@H](CCC1=CC=C(C=C1)O)NC[C@H](C2=CC=C(C=C2)O)O	[Compound(12049689)]	4-[(3R)-3-[[(2S)-2-hydroxy-2-(4-hydroxyphenyl)ethyl]amino]butyl]phenol
CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCCC(=O)OCC	[Compound(12054543)]	ethyl (7Z,10Z,13Z,16Z,19Z)-docosa-7,10,13,16,19-pentaenoate
C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CCC3=C2CC[C@@H]4[C@@]3(CC[C@@H](C4(C)C)O)C)C	[Compound(12070223)]	(3S,5R,10S,13R,14R,17R)-4,4,10,13-tetramethyl-17-[(2R)-6-methylheptan-2-yl]-1,2,3,5,6,7,11,12,14,15,16,17-dodecahydrocyclopenta[a]phenanthren-3-ol
CC1=C(C=C(C=C1)C(=O)O)C	[Compound(12073)]	3,4-dimethylbenzoic acid
CCC(=O)O[C@@]1(CCN(C[C@@H]1C)C)C2=CC=CC=C2.Cl	[Compound(120737)]	[(3S,4R)-1,3-dimethyl-4-phenylpiperidin-4-yl] propanoate;hydrochloride
C[C@H]1C[C@@H](C(=O)[C@H](C1)[C@@H](CC2CC(=O)NC(=O)C2)O)C	[Compound(120760)]	4-[(2R)-2-[(1R,3S,5S)-3,5-dimethyl-2-oxocyclohexyl]-2-hydroxyethyl]piperidine-2,6-dione
C[C@@H]1CCCC(C2=CC(=CC[C@@H]12)C)(C)C	[Compound(12093071)]	(9R,9aS)-3,5,5,9-tetramethyl-1,6,7,8,9,9a-hexahydrobenzo[7]annulene
COC1=CC=CC=C1OC2=C(N=C(N=C2OC)C3=NC=CC=N3)[N-]S(=O)(=O)/C=C/C4=CC=CC=C4.[K+]	[Compound(12093171)]	potassium;[6-methoxy-5-(2-methoxyphenoxy)-2-pyrimidin-2-ylpyrimidin-4-yl]-[(E)-2-phenylethenyl]sulfonylazanide
C1=CC=C(C=C1)CI	[Compound(12098)]	iodomethylbenzene
CC1=CC(=CC=C1)C=O	[Compound(12105)]	3-methylbenzaldehyde
CC1=CN=C(C(=C1OC)C)CS(=O)C2=NC3=C([N-]2)C=C(C=C3)OC.[Na+]	[Compound(12108541)]	sodium;5-methoxy-2-[(4-methoxy-3,5-dimethylpyridin-2-yl)methylsulfinyl]benzimidazol-3-ide
C1=CC(=CC=C1OC2=C(C=C(C=C2)Br)Br)Br	[Compound(12110098)]	2,4-dibromo-1-(4-bromophenoxy)benzene
C1=CC(=CC=C1[C@H]2[C@@H](C(=O)C3=C(C=C(C=C3O2)O)O)C4=C(C=C(C5=C4OC(=CC5=O)C6=CC(=C(C=C6)O)O)O)O)O	[Compound(12110448)]	8-[(2R,3S)-5,7-dihydroxy-2-(4-hydroxyphenyl)-4-oxo-2,3-dihydrochromen-3-yl]-2-(3,4-dihydroxyphenyl)-5,7-dihydroxychromen-4-one
C1=CC(=CC=C1CC2=CC=C(C=C2)O)O	[Compound(12111)]	4-[(4-hydroxyphenyl)methyl]phenol
CC1=CC(=C2C(=C1)OC3=C(C2=O)[C@H](OC(=O)C=C3Cl)C(=O)OC)O	[Compound(121225493)]	methyl (1S)-5-chloro-10-hydroxy-8-methyl-3,11-dioxo-1H-oxepino[4,3-b]chromene-1-carboxylate
CC1[C@@H]2[C@H](CC(=C3[C@@H]([C@H]2OC1=O)C(=CC3=O)COC(=O)C(=O)O)C)O	[Compound(121225503)]	2-[[(3aR,4S,9aS,9bR)-4-hydroxy-3,6-dimethyl-2,7-dioxo-3,3a,4,5,9a,9b-hexahydroazuleno[8,7-b]furan-9-yl]methoxy]-2-oxoacetic acid
C[C@H]1[C@@H]2CCC(=C3[C@@H]([C@H]2OC1=O)C(=CC3=O)COC(=O)C(=O)O)C	[Compound(121225504)]	2-[[(3S,3aS,9aS,9bS)-3,6-dimethyl-2,7-dioxo-3,3a,4,5,9a,9b-hexahydroazuleno[8,7-b]furan-9-yl]methoxy]-2-oxoacetic acid
C[C@H]1[C@@H]2[C@H](CC(=C3[C@@H]([C@H]2OC1=O)C(=CC3=O)COC(=O)C(=O)O)C)OC(=O)CC4=CC=C(C=C4)O	[Compound(121225505)]	2-[[(3S,3aR,4S,9aS,9bR)-4-[2-(4-hydroxyphenyl)acetyl]oxy-3,6-dimethyl-2,7-dioxo-3,3a,4,5,9a,9b-hexahydroazuleno[8,7-b]furan-9-yl]methoxy]-2-oxoacetic acid
CCCCCCCCCCCCCCCCCC(=O)O[C@@H]1[C@H]([C@@H]([C@H](O[C@@H]1O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)OS(=O)(=O)O)CO)O)OC(=O)[C@@H](C)C[C@@H](C)C[C@@H](C)C[C@@H](C)C[C@@H](C)C[C@@H](C)C[C@@H](C)C[C@@H](C)C(CCCCCCCCCCCCCCC)O	[Compound(121225507)]	[(2R,3R,4S,5R,6R)-2-[(2R,3R,4S,5S,6R)-4,5-dihydroxy-6-(hydroxymethyl)-3-sulfooxyoxan-2-yl]oxy-5-hydroxy-6-(hydroxymethyl)-3-octadecanoyloxyoxan-4-yl] (2S,4S,6S,8S,10R,12R,14R,16R)-17-hydroxy-2,4,6,8,10,12,14,16-octamethyldotriacontanoate
CC1(C(N(C(=O)NC1=O)[C@H]2C[C@@H]([C@H](O2)COP(=O)(O)O)O)C3C=C4N3C(=O)N4[C@H]5C[C@@H]([C@H](O5)COP(=O)(O)O)O)N	[Compound(121225513)]	[(2R,3S,5R)-5-[6-[5-amino-3-[(2R,4S,5R)-4-hydroxy-5-(phosphonooxymethyl)oxolan-2-yl]-5-methyl-2,6-dioxo-1,3-diazinan-4-yl]-2-oxo-1,3-diazabicyclo[2.2.0]hex-4-en-3-yl]-3-hydroxyoxolan-2-yl]methyl dihydrogen phosphate
C1[C@@H]([C@H](O[C@H]1N2C(=C(C(=O)NC2=O)O)O)COP(=O)(O)O)O	[Compound(121225518)]	[(2R,3S,5R)-5-(5,6-dihydroxy-2,4-dioxopyrimidin-1-yl)-3-hydroxyoxolan-2-yl]methyl dihydrogen phosphate
C1[C@@H]([C@H](O[C@@H]1O)COP(=O)(O)O[C@H]2C[C@H](O[C@@H]2COP(=O)(O)O)O)O	[Compound(121225521)]	[(2R,3S,5S)-3,5-dihydroxyoxolan-2-yl]methyl [(2R,3S,5S)-5-hydroxy-2-(phosphonooxymethyl)oxolan-3-yl] hydrogen phosphate
CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@H]1O[C@H]2[C@H]([C@H](O[C@H]([C@@H]2O)O[C@H]3[C@H]([C@H](O[C@H]([C@@H]3O)O[C@@H]4[C@H](O[C@H]([C@@H]([C@H]4O)O)O)CO)CO)O)CO)O)CO)O[C@H]5[C@@H]([C@H]([C@H]([C@H](O5)CO)O)O)O)O	[Compound(121225524)]	N-[(2S,3R,4R,5S,6R)-2-[(2S,3R,4S,5S,6R)-2-[(2R,3S,4S,5R,6S)-3,5-dihydroxy-2-(hydroxymethyl)-6-[(2R,3S,4R,5R,6R)-4,5,6-trihydroxy-2-(hydroxymethyl)oxan-3-yl]oxyoxan-4-yl]oxy-3,5-dihydroxy-6-(hydroxymethyl)oxan-4-yl]oxy-4-hydroxy-6-(hydroxymethyl)-5-[(2S,3R,4S,5R,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyoxan-3-yl]acetamide
CCCCC[C@H]1[C@@H](O1)/C=C/[C@H](C/C=C\C/C=C\CCCC(=O)[O-])O	[Compound(121225526)]	(5Z,8Z,11S,12E)-11-hydroxy-13-[(2S,3S)-3-pentyloxiran-2-yl]trideca-5,8,12-trienoate
